Date,Open,High,Low,Close,Volume
2023-01-01,104.23379709069667,119.95902708826473,93.8813351510728,96.73571157448598,3740691
2023-01-02,96.44697071939521,111.55137957680509,82.55936105976986,103.548835534498,4123752
2023-01-03,97.36142774401533,112.00216966338135,87.37668270943126,103.85663218547037,1756267
2023-01-04,104.45797402858392,118.18639324792525,92.53537718882201,98.10494174415139,2367517
2023-01-05,105.71353580547158,113.07742154937833,81.05625225038693,95.11066107023078,3608045
2023-01-06,108.99450781739995,119.32391602170829,88.85604818070581,90.14710222870531,2439888
2023-01-07,99.6535190416922,116.05553975779173,90.56108495773326,100.43914205615717,4728305
2023-01-08,108.64569262603356,116.12615945282693,88.54660543903039,94.83117635920638,3306767
2023-01-09,93.65023874310961,118.15434208423801,89.24999618670591,92.56027413137171,2848083
2023-01-10,96.24326279737278,116.44840837453523,89.29241894462533,101.04537287637626,1282678
